playername,marketvaluepound,season,age,lgrank,MP,starts,min,goal,assist,sh,sot,sotp,gsh,cmp,cmpp,cmpsp,cmpmp,cmplp,crs,ground,low,high,left,right,head,off,int,block,sca,passlive,drib,gca,gcapasslive,gcadrib,tkl,tklw,press,pressp,touches,succp,targ,rec,recp,miscon,subs,fls,recov,aerialwonp
Jacob Bruun Larsen,,2016-2017,17,3rd,0,0,,,,,0.00,,0,28,66.7,0.0,88.9,36.4,2,14,19,9,10,19,3,0,3,Matches,1,1,0,0,0,0,1,1,24,25.0,53,33.3,37,29,78.4,2,0,7,9,0.0
Jacob Bruun Larsen,,2017-2018,18,7th,4,1,107,0,0,,0.00,,0,2,100.0,,100.0,,0,2,0,0,1,1,0,0,0,Matches,0,0,0,0,0,0,1,1,8,62.5,2,,1,1,100.0,0,3,0,0,
Jacob Bruun Larsen,,2017-2018,18,4th,1,0,7,0,0,38.5,1.85,0.08,0,417,77.9,42.9,81.3,69.5,16,412,67,56,129,346,36,1,14,Matches,30,24,1,4,4,0,15,11,242,23.1,713,50.0,677,537,79.3,36,1,3,78,34.6
Jacob Bruun Larsen,,2018-2019,19,2nd,24,16,"1,265",2,2,,0.00,,0,22,81.5,33.3,85.7,100.0,0,22,5,0,8,16,2,0,0,Matches,1,1,0,1,1,0,0,0,25,20.0,36,33.3,48,29,60.4,4,8,1,6,16.7
Jacob Bruun Larsen,,2019-2020,20,2nd,4,0,68,0,1,25.0,0.92,0.00,0,106,76.8,20.0,82.2,76.2,6,87,29,22,34,90,5,0,1,Matches,23,16,6,2,2,0,6,4,69,27.5,181,61.9,166,131,78.9,8,4,2,27,60.0
Kingsley Coman,,2012-2013,16,1st,1,0,4,0,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,1,1,,
Kingsley Coman,,2013-2014,17,1st,2,0,37,0,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,2,1,,
Kingsley Coman,,2014-2015,18,1st,14,5,495,0,2,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,9,13,,
Kingsley Coman,,2015-2016,19,1st,1,1,63,0,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,0,0,,
Kingsley Coman,,2015-2016,19,1st,23,20,"1,685",4,6,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,3,13,,
Kingsley Coman,,2016-2017,20,1st,19,10,917,2,1,40.9,2.16,0.09,0,,,,,,41,,,,,,,,,Matches,,,,,,,,8,,,,,,,,,9,12,,
Kingsley Coman,,2017-2018,21,1st,21,10,"1,153",3,3,51.6,2.42,0.10,0,484,79.7,42.9,86.3,58.0,59,439,68,100,110,458,21,1,2,Matches,63,48,10,9,6,2,9,4,188,30.3,789,73.7,791,644,81.4,39,11,7,96,60.0
Kingsley Coman,,2018-2019,22,1st,21,17,"1,378",6,4,58.1,2.02,0.19,0,545,79.6,21.4,84.6,68.9,56,536,78,71,145,512,16,2,16,Matches,53,41,8,8,7,0,10,6,277,29.2,910,69.0,908,750,82.6,41,4,17,103,39.1
Kingsley Coman,,2019-2020,23,1st,24,17,"1,505",4,3,40.5,2.21,0.11,0,610,76.6,16.1,82.3,65.5,79,571,111,114,160,600,13,3,24,Matches,75,61,8,10,8,0,23,15,288,31.9,1034,59.4,1058,844,79.8,33,7,11,125,45.9
Sergio Córdova,,2016,18,4th,14,4,460,1,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,10,,,
Sergio Córdova,,2017,19,7th,4,0,112,0,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,4,,,
Sergio Córdova,,2017-2018,19,12th,26,3,586,2,1,43.8,2.46,0.13,0,111,74.0,28.6,80.3,52.4,9,92,39,19,17,107,12,1,2,Matches,19,13,0,3,1,0,6,4,139,26.6,252,53.3,327,186,56.9,25,23,21,30,31.0
Sergio Córdova,,2018-2019,20,15th,20,3,531,3,0,33.3,2.03,0.25,0,101,76.5,50.0,81.0,66.7,5,93,18,21,15,97,12,0,2,Matches,10,6,0,0,0,0,10,9,172,20.9,220,77.8,269,142,52.8,20,17,16,38,24.1
Sergio Córdova,,2019-2020,21,15th,16,4,367,2,1,40.0,1.23,0.40,0,54,71.1,50.0,75.4,63.6,2,36,28,12,12,44,6,1,2,Matches,6,4,2,3,1,2,4,3,157,15.3,122,60.0,158,81,51.3,12,12,6,23,29.5
Matheus Cunha,,2017-2018,18,6th,0,0,,,,32.4,3.59,0.06,0,161,68.5,13.3,75.1,59.0,10,155,47,33,40,169,11,2,11,Matches,32,21,7,4,1,2,7,5,252,25.8,377,76.9,458,272,59.4,28,0,33,58,34.3
Matheus Cunha,,2018-2019,19,3rd,25,9,853,2,0,43.8,5.16,0.00,0,74,77.1,28.6,81.6,76.9,1,66,14,16,12,73,7,1,2,Matches,13,7,0,1,0,0,7,4,109,21.1,156,63.6,176,110,62.5,12,16,9,26,40.0
Matheus Cunha,,2019-2020,20,3rd,10,2,279,0,1,42.9,4.23,0.17,0,120,68.2,30.0,71.3,68.6,5,106,29,41,25,135,11,1,8,Matches,28,16,6,4,1,1,12,9,177,25.4,315,79.1,303,204,67.3,17,8,25,60,27.3
Matheus Cunha,,2017-2018,18,6th,0,0,,,,32.4,3.59,0.06,0,161,68.5,13.3,75.1,59.0,10,155,47,33,40,169,11,2,11,Matches,32,21,7,4,1,2,7,5,252,25.8,377,76.9,458,272,59.4,28,0,33,58,34.3
Matheus Cunha,,2018-2019,19,3rd,25,9,853,2,0,43.8,5.16,0.00,0,74,77.1,28.6,81.6,76.9,1,66,14,16,12,73,7,1,2,Matches,13,7,0,1,0,0,7,4,109,21.1,156,63.6,176,110,62.5,12,16,9,26,40.0
Matheus Cunha,,2019-2020,20,3rd,10,2,279,0,1,42.9,4.23,0.17,0,120,68.2,30.0,71.3,68.6,5,106,29,41,25,135,11,1,8,Matches,28,16,6,4,1,1,12,9,177,25.4,315,79.1,303,204,67.3,17,8,25,60,27.3
Moussa Diaby,,2017-2018,18,18th,2,1,69,0,0,,0.00,,0,15,75.0,33.3,92.3,50.0,4,11,3,6,13,7,0,0,0,Matches,1,1,0,0,0,0,1,0,23,13.0,28,66.7,31,19,61.3,2,1,1,4,0.0
Moussa Diaby,,2018-2019,19,1st,25,10,"1,141",2,6,24.0,1.97,0.08,0,464,80.1,20.0,86.8,61.0,30,483,61,35,412,139,4,2,13,Matches,35,25,9,10,7,3,15,12,262,26.7,719,55.3,700,568,81.1,30,15,15,73,10.0
Moussa Diaby,,2019-2020,20,5th,28,18,"1,771",5,5,56.1,2.08,0.12,0,515,73.6,27.7,82.3,55.6,90,498,105,97,448,225,4,0,15,Matches,67,48,12,10,7,2,9,4,239,29.7,947,61.5,1045,770,73.7,52,10,13,118,17.6
Breel Embolo,,2013-2014,16,1st,7,1,175,1,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,6,,,
Breel Embolo,,2014-2015,17,1st,27,18,"1,793",10,4,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,9,,,
Breel Embolo,,2015-2016,18,1st,27,26,"2,246",10,7,,,,1,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,1,,,
Breel Embolo,,2016-2017,19,10th,7,4,341,2,0,50.0,2.11,0.25,0,,,,,,6,,,,,,,,,Matches,,,,,,,,7,,,,,,,,,3,7,,
Breel Embolo,,2017-2018,20,2nd,21,9,919,3,0,61.1,1.76,0.17,0,160,75.5,30.8,80.1,69.7,7,139,47,26,22,164,12,0,8,Matches,24,8,6,5,1,0,19,14,264,28.4,402,45.3,479,285,59.5,40,12,42,58,20.8
Breel Embolo,,2018-2019,21,14th,20,15,"1,345",5,1,48.1,1.81,0.19,0,188,67.1,18.8,72.6,57.8,6,188,60,32,21,202,25,3,4,Matches,40,25,4,7,2,1,20,16,257,25.7,504,42.0,650,369,56.8,59,5,30,66,31.1
Breel Embolo,,2019-2020,22,4th,28,17,"1,550",8,5,40.9,2.55,0.18,0,294,75.4,29.4,81.9,67.3,5,262,88,40,37,306,17,7,15,Matches,56,35,5,11,7,0,23,15,394,24.1,701,43.4,828,522,63.0,58,11,42,95,30.0
Alexander Esswein,,2007-2008,17,13th,1,0,28,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Alexander Esswein,,2008-2009,18,1st,4,0,82,0,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,4,2,,
Alexander Esswein,,2009-2010,19,8th,4,0,12,0,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,4,1,,
Alexander Esswein,,2010-2011,20,3rd,31,31,"2,732",17,6,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
Alexander Esswein,,2011-2012,21,10th,26,20,"1,822",4,3,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,6,31,,
Alexander Esswein,,2012-2013,22,10th,27,19,"1,671",2,1,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,8,17,,
Alexander Esswein,,2013-2014,23,17th,5,1,132,0,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,4,1,,
Alexander Esswein,,2013-2014,23,8th,13,5,615,0,1,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,8,9,,
Alexander Esswein,,2014-2015,24,5th,19,10,861,1,3,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,9,9,,
Alexander Esswein,,2015-2016,25,12th,29,22,"1,800",3,1,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,7,31,,
Alexander Esswein,,2016-2017,26,6th,29,15,"1,322",2,2,37.0,1.84,0.07,0,,,,,,38,,,,,,,,,Matches,,,,,,,,18,,,,,,,,,14,21,,
Alexander Esswein,,2017-2018,27,10th,16,6,617,2,1,60.0,1.46,0.20,0,163,71.5,21.1,78.8,64.1,15,144,40,44,44,152,22,0,10,Matches,11,9,0,3,2,0,19,10,221,22.6,307,25.0,305,211,69.2,15,10,15,45,42.9
Alexander Esswein,,2018-2019,28,16th,17,15,"1,251",0,0,29.6,1.94,0.00,0,308,68.4,35.7,75.5,55.8,60,236,114,100,82,318,27,1,10,Matches,42,30,4,4,3,0,23,12,301,29.9,624,60.0,681,449,65.9,32,2,18,73,34.4
Alexander Esswein,,2018-2019,28,11th,0,0,,,,50.0,0.85,0.00,0,59,63.4,14.3,79.4,34.8,6,45,27,21,17,57,7,0,2,Matches,4,3,0,0,0,0,8,3,66,18.2,129,66.7,94,80,85.1,3,0,5,15,85.7
Serge Gnabry,,2012-2013,17,4th,1,0,8,0,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,1,0,,
Serge Gnabry,,2013-2014,18,4th,8,5,401,1,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,3,2,,
Serge Gnabry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serge Gnabry,,2015-2016,20,14th,1,0,13,0,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,1,2,,
Serge Gnabry,,2016-2017,21,8th,27,23,"1,963",11,1,33.9,2.84,0.16,1,,,,,,15,,,,,,,,,Matches,,,,,,,,27,,,,,,,,,4,24,,
Serge Gnabry,,2017-2018,22,3rd,22,20,"1,507",10,5,41.7,2.87,0.21,0,404,75.2,27.6,81.6,59.5,29,352,104,81,104,372,16,3,10,Matches,63,39,13,13,7,3,30,23,342,27.8,766,58.9,787,531,67.5,42,2,20,106,26.3
Serge Gnabry,,2018-2019,23,1st,30,21,"1,762",10,5,49.2,3.32,0.15,0,689,82.0,32.5,86.8,71.7,33,655,120,65,189,609,21,3,23,Matches,70,52,6,15,10,1,42,32,435,30.3,1147,50.0,1113,913,82.0,44,9,25,110,18.8
Serge Gnabry,,2019-2020,24,1st,31,26,"2,193",12,10,41.7,3.94,0.13,0,883,78.3,19.3,85.5,58.8,71,836,195,96,260,793,32,4,37,Matches,96,72,15,17,12,4,39,25,434,31.6,1469,59.8,1524,1172,76.9,55,5,15,152,22.7
Benjamin Goller,,2016-2017,17,4th,26,26,"1,909",10,,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,0,,,
Benjamin Goller,,2017-2018,18,1st,26,25,"1,959",6,,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,1,,,
Benjamin Goller,,2018-2019,19,14th,0,0,,,,0.0,0.62,0.00,0,58,66.7,27.3,80.0,27.3,4,51,19,17,6,72,4,2,2,Matches,5,5,0,1,1,0,9,6,108,18.5,138,54.2,135,94,69.6,7,0,4,23,30.0
André Hahn,,2010-2011,19,11th,16,14,"1,290",2,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
André Hahn,,2011-2012,20,8th,31,26,"2,311",3,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
André Hahn,,2012-2013,21,15th,11,11,838,2,2,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,0,,,
André Hahn,,2012-2013,21,15th,16,12,"1,114",0,3,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,4,24,,
André Hahn,,2013-2014,22,8th,32,30,"2,735",12,8,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,2,69,,
André Hahn,,2014-2015,23,3rd,23,15,"1,312",3,2,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,8,35,,
André Hahn,,2015-2016,24,4th,15,7,745,8,1,,,,1,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,8,26,,
André Hahn,,2016-2017,25,9th,30,18,"1,602",3,1,34.3,1.97,0.09,0,,,,,,35,,,,,,,,,Matches,,,,,,,,20,,,,,,,,,12,41,,
André Hahn,,2017-2018,26,17th,23,14,"1,358",3,0,39.0,2.72,0.07,0,207,54.3,18.5,61.1,43.0,38,136,114,131,48,196,61,1,9,Matches,21,13,2,2,1,1,25,11,407,23.6,613,37.5,666,396,59.5,48,9,38,90,44.5
André Hahn,,2018-2019,27,15th,28,21,"2,052",4,4,38.9,1.58,0.11,0,304,55.2,16.3,64.8,44.9,82,261,135,155,70,358,67,3,19,Matches,46,34,2,6,4,0,53,34,612,24.8,844,47.8,846,538,63.6,50,7,67,130,47.6
André Hahn,,2019-2020,28,15th,15,8,702,1,0,26.7,1.92,0.07,0,102,55.7,19.0,67.5,42.2,15,90,34,59,23,118,20,1,3,Matches,15,12,2,0,0,0,15,5,252,25.4,322,66.7,318,180,56.6,23,7,24,57,58.7
Thorgan Hazard,,2011-2012,18,12th,14,6,577,0,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,
Thorgan Hazard,,2012-2013,19,2nd,34,32,"2,672",4,9,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Thorgan Hazard,,2013-2014,20,4th,39,38,"3,422",14,14,,,,5,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,1,,,
Thorgan Hazard,,2014-2015,21,3rd,28,7,917,1,7,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,21,20,,
Thorgan Hazard,,2015-2016,22,4th,29,19,"1,642",4,3,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,10,46,,
Thorgan Hazard,,2016-2017,23,9th,23,18,"1,628",6,4,39.5,2.38,0.14,0,,,,,,61,,,,,,,,,Matches,,,,,,,,24,,,,,,,,,5,27,,
Thorgan Hazard,,2017-2018,24,9th,34,33,"2,939",10,5,32.9,2.42,0.06,5,998,73.1,43.4,81.6,55.6,144,824,243,298,203,1021,65,4,37,Matches,131,77,16,15,8,2,45,33,588,27.0,1797,52.2,1663,1228,73.8,66,1,25,248,36.6
Thorgan Hazard,,2018-2019,25,5th,33,33,"2,873",10,11,31.5,2.29,0.10,3,980,70.3,28.6,79.6,54.3,183,896,199,299,219,1047,62,9,46,Matches,117,73,7,16,12,0,43,29,611,21.8,1783,64.6,1595,1215,76.2,65,0,27,237,17.5
Thorgan Hazard,,2019-2020,26,2nd,33,28,"2,380",7,13,42.0,1.89,0.14,0,961,76.8,33.0,84.7,57.2,111,857,214,180,224,945,36,1,34,Matches,103,63,8,20,17,2,42,36,587,26.4,1563,57.7,1502,1176,78.3,53,5,37,164,35.4
Patrick Herrmann,,2009-2010,18,12th,13,3,402,1,1,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,10,10,,
Patrick Herrmann,,2010-2011,19,16th,24,15,"1,162",3,1,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,9,29,,
Patrick Herrmann,,2011-2012,20,4th,27,22,"1,724",6,6,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,5,21,,
Patrick Herrmann,,2012-2013,21,8th,32,30,"2,478",6,5,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,2,55,,
Patrick Herrmann,,2013-2014,22,6th,34,34,"2,675",6,8,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,0,36,,
Patrick Herrmann,,2014-2015,23,3rd,32,26,"2,187",11,4,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,6,38,,
Patrick Herrmann,,2015-2016,24,4th,18,5,636,3,1,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,13,7,,
Patrick Herrmann,,2016-2017,25,9th,18,9,696,1,1,44.4,1.16,0.11,0,,,,,,20,,,,,,,,,Matches,,,,,,,,11,,,,,,,,,9,8,,
Patrick Herrmann,,2017-2018,26,9th,23,12,"1,124",0,1,38.9,1.44,0.00,0,267,68.1,31.0,76.1,53.2,40,210,87,95,40,297,16,0,9,Matches,24,18,0,2,1,0,23,15,249,26.5,545,73.3,477,334,70.0,15,11,21,83,41.4
Patrick Herrmann,,2018-2019,27,5th,24,10,"1,079",3,2,16.7,1.50,0.17,0,394,75.2,10.5,85.4,59.3,71,298,110,116,50,396,19,1,10,Matches,37,28,1,4,3,1,19,10,152,28.3,629,69.2,533,427,80.1,10,14,16,78,36.8
Patrick Herrmann,,2019-2020,28,4th,27,16,"1,453",6,6,37.5,2.48,0.15,0,375,70.9,34.6,78.4,53.5,65,290,136,103,56,426,22,1,15,Matches,42,31,1,9,8,0,29,20,282,28.7,716,72.7,710,508,71.5,28,11,34,99,38.9
Lucas Höler,,2014-2015,20,16th,26,17,"1,612",10,1,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,9,,,
Lucas Höler,,2015-2016,21,12th,37,30,"2,765",11,4,,,,1,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,7,,,
Lucas Höler,,2016-2017,22,10th,32,29,"2,576",6,4,,0.00,,0,,,,,,0,,,,,,,,,Matches,,,,,,,,0,,,,,,,,,3,61,,
Lucas Höler,,2017-2018,23,11th,16,16,"1,384",7,0,34.5,1.89,0.21,1,,,,,,11,,,,,,,,,Matches,,,,,,,,34,,,,,,,,,0,29,,
Lucas Höler,,2017-2018,23,15th,14,12,906,1,0,38.5,1.29,0.08,0,142,59.2,29.0,67.2,45.7,4,133,63,44,28,172,15,2,7,Matches,12,7,0,0,0,0,20,12,250,28.0,406,52.4,422,269,63.7,34,2,20,66,52.2
Lucas Höler,,2018-2019,24,13th,26,11,"1,006",4,0,42.3,2.33,0.15,0,180,68.2,47.6,70.9,64.9,10,184,43,37,40,188,20,0,6,Matches,31,21,1,2,2,0,20,13,272,19.5,450,33.3,562,340,60.5,39,15,17,50,36.1
Lucas Höler,,2019-2020,25,8th,34,28,"2,485",8,2,44.0,1.81,0.16,0,452,69.9,39.7,75.2,64.6,18,376,160,111,88,441,49,1,11,Matches,67,39,5,15,4,3,37,18,644,23.9,1098,56.7,1196,755,63.1,97,6,37,155,43.6
Fredrik Jensen,,2016-2017,18,7th,25,18,"1,514",4,2,,0.00,,0,,,,,,0,,,,,,,,,Matches,,,,,,,,0,,,,,,,,,7,14,,
Fredrik Jensen,,2017-2018,19,18th,30,30,"2,516",5,3,,0.00,,0,,,,,,0,,,,,,,,,Matches,,,,,,,,0,,,,,,,,,0,23,,
Fredrik Jensen,,2018-2019,20,15th,6,2,207,0,0,0.0,0.87,0.00,0,33,58.9,0.0,67.5,46.2,3,33,6,17,6,40,4,1,3,Matches,2,2,0,0,0,0,6,3,65,30.8,87,50.0,76,55,72.4,6,4,4,17,66.7
Fredrik Jensen,,2019-2020,21,15th,10,5,457,1,0,50.0,1.18,0.17,0,57,64.8,28.6,77.8,33.3,5,57,16,15,13,65,6,0,1,Matches,8,5,1,2,1,0,1,1,162,19.8,130,50.0,173,88,50.9,4,5,3,23,31.6
Florian Kainz,,2010-2011,17,1st,13,9,737,2,2,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,4,,,
Florian Kainz,,2011-2012,18,5th,25,24,"1,893",3,4,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,1,,,
Florian Kainz,,2012-2013,19,4th,26,22,"1,978",3,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Florian Kainz,,2013-2014,20,5th,33,31,"2,581",7,3,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,2,,,
Florian Kainz,,2014-2015,21,4th,1,1,75,0,1,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,0,,,
Florian Kainz,,2014-2015,21,2nd,32,30,"2,527",4,5,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,2,,,
Florian Kainz,,2015-2016,22,2nd,33,31,"2,784",7,17,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,2,44,,
Florian Kainz,,2016-2017,23,8th,14,1,311,2,3,100.0,0.58,1.00,0,,,,,,12,,,,,,,,,Matches,,,,,,,,6,,,,,,,,,13,6,,
Florian Kainz,,2017-2018,24,11th,30,19,"1,712",3,3,33.3,1.89,0.08,0,548,69.8,27.5,80.8,53.9,116,432,155,198,132,566,35,4,16,Matches,70,42,2,4,3,0,28,14,346,22.8,1015,58.3,860,692,80.5,31,11,35,141,50.0
Florian Kainz,,2018-2019,25,8th,8,5,373,0,1,25.0,1.93,0.00,0,136,66.3,22.2,80.3,48.6,29,140,18,47,51,139,6,0,4,Matches,14,10,2,4,3,1,8,6,55,25.5,262,47.1,226,190,84.1,6,3,3,28,37.5
Florian Kainz,,2018-2019,25,1st,14,14,"1,217",0,4,4.3,1.70,0.00,0,,,,,,66,,,,,,,,,Matches,,,,,,,,13,,,,,,,,,0,19,,
Florian Kainz,,2019-2020,26,14th,28,16,"1,561",5,6,37.5,2.31,0.10,1,456,62.4,6.9,77.4,48.7,169,338,131,262,186,488,17,8,13,Matches,72,42,3,7,4,0,22,10,288,23.3,942,55.3,749,600,80.1,20,12,16,124,22.2
Salomon Kalou,,2004-2005,18,4th,31,26,"2,323",20,11,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,5,,,
Salomon Kalou,,2005-2006,19,3rd,34,33,"2,900",14,10,,,,1,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,1,,,
Salomon Kalou,,2006-2007,20,2nd,33,19,"1,937",7,3,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,14,43,,
Salomon Kalou,,2007-2008,21,2nd,30,24,"2,133",7,10,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,6,28,,
Salomon Kalou,,2008-2009,22,3rd,27,17,"1,501",6,5,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,10,24,,
Salomon Kalou,,2009-2010,23,1st,23,11,958,5,3,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,12,15,,
Salomon Kalou,,2010-2011,24,2nd,31,16,"1,570",10,3,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,15,15,,
Salomon Kalou,,2011-2012,25,6th,12,7,574,1,1,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,5,4,,
Salomon Kalou,,2012-2013,26,6th,28,25,"2,193",14,3,,,,1,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,3,32,,
Salomon Kalou,,2013-2014,27,3rd,38,36,"3,099",16,6,,,,5,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,2,55,,
Salomon Kalou,,2014-2015,28,8th,1,1,60,0,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,0,0,,
Salomon Kalou,,2014-2015,28,15th,27,21,"1,858",6,0,,,,2,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,6,43,,
Salomon Kalou,,2015-2016,29,7th,32,30,"2,517",14,2,,,,2,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,2,40,,
Salomon Kalou,,2016-2017,30,6th,26,25,"1,982",7,4,42.1,1.73,0.16,1,,,,,,8,,,,,,,,,Matches,,,,,,,,10,,,,,,,,,1,20,,
Salomon Kalou,,2017-2018,31,10th,31,27,"2,207",12,3,45.8,1.96,0.23,1,446,70.2,32.6,76.0,55.2,17,416,119,100,72,480,41,4,17,Matches,34,27,3,4,4,0,18,11,431,24.6,939,59.2,964,655,67.9,59,4,22,153,38.9
Salomon Kalou,,2018-2019,32,11th,30,27,"2,317",8,2,31.1,1.75,0.11,3,509,71.4,31.4,76.7,55.3,21,499,130,84,76,556,45,9,31,Matches,57,40,9,8,5,2,19,13,461,19.7,1020,75.3,1161,756,65.1,65,3,29,135,29.8
Salomon Kalou,,2019-2020,33,10th,5,1,146,1,0,33.3,3.70,0.17,0,29,65.9,50.0,73.3,50.0,1,27,9,8,7,31,3,0,2,Matches,1,1,0,1,1,0,3,3,33,30.3,75,25.0,71,49,69.0,7,4,4,12,16.7
Felix Klaus,,2010-2011,17,4th,18,15,"1,227",2,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,24,,
Felix Klaus,,2011-2012,18,1st,20,9,815,2,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,
Felix Klaus,,2012-2013,19,18th,24,19,"1,660",2,1,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,5,31,,
Felix Klaus,,2013-2014,20,14th,21,14,"1,385",5,1,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,7,20,,
Felix Klaus,,2014-2015,21,17th,31,27,"2,214",2,2,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,4,31,,
Felix Klaus,,2015-2016,22,18th,18,9,796,1,0,,,,0,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,9,10,,
Felix Klaus,,2016-2017,23,2nd,30,28,"2,405",6,3,,0.00,,0,,,,,,0,,,,,,,,,Matches,,,,,,,,0,,,,,,,,,2,55,,
Felix Klaus,,2017-2018,24,13th,28,25,"1,981",4,2,41.8,2.50,0.07,0,487,71.0,34.7,80.6,52.3,71,317,176,193,48,516,70,2,16,Matches,73,30,4,10,2,0,46,28,476,28.6,1001,45.8,925,619,66.9,43,3,28,177,35.5
