playername,mvpr,marketvaluepound,season,age,lgrank,MP,starts,min,goal,assist,sh,sot,sotp,gsh,cmp,cmpp,crs,int,block,sca,passlive,drib,gca,gcapasslive,tkl,press,pressp,touches,succp,targ,rec,recp,miscon,fls,recov,aerialwonp
Yussuf Poulsen,29394661.73,31500000,2019,24,3,31,27,2451,15,3,41.8,2.46,0.22,0,502,62,12,26,,71,54,6,10,6,19,711,26.6,1228,48.5,1650,955,57.9,110,56,132,48.9
Sadio Mané,98999702.72,108000000,2020,27,1,35,31,2747,18,7,76,36,47.4,0.24,933,80.3,49,29,,107,85,6,15,9,50,504,30.4,1590,65.5,1843,1275,69.2,85,46,169,30.7
Renaud Ripart,3732655.458,4000000,2019,25,9,38,34,3006,8,4,66,20,30.3,0,854,72.4,77,29,62,67,50,6,5,4,73,663,25.8,1682,45.8,1479,1035,70,85,37,245,40.7
Mario Balotelli,20519153.58,21600000,2018,26,8,28,26,2272,18,1,43.8,4.16,0.11,6,568,74.7,16,29,,81,49,6,8,3,7,217,22.6,1097,64.3,1157,892,77.1,53,57,66,43.5
Ibai Gómez,4274823.664,4500000,2018,27,14,34,26,2315,7,6,52,24,46.2,1,616,66,147,33,28,69,32,6,10,8,17,495,19.2,1206,56.7,949,768,80.9,39,17,152,20
Houssem Aouar,34198589.31,36000000,2018,19,3,32,27,2430,6,4,52,18,34.6,0,1312,85.3,14,35,31,94,72,6,12,10,49,607,26.4,1897,64.8,1560,1426,91.4,44,21,229,42.9
Sadio Mané,59847531.29,63000000,2018,25,4,29,28,2190,10,7,71,25,35.2,0.14,766,79.2,32,36,,84,64,6,9,8,24,388,31.4,1310,58.1,1442,1068,74.1,78,24,137,35.4
Richarlison,41992373.9,45000000,2019,21,8,35,32,2665,13,1,87,27,31,0.15,546,65.2,48,38,,74,41,6,10,4,55,632,26.7,1350,51.3,1492,944,63.3,107,33,226,32.6
Ivan Perišić,34198589.31,36000000,2018,28,4,37,37,3313,11,7,32.2,3.29,0.09,0,1109,68,199,38,,128,105,6,14,9,45,688,26.6,2078,47.9,1965,1573,80.1,56,27,232,54.3
Julian Brandt,32999900.91,36000000,2020,23,2,33,25,2203,3,7,45.5,1.35,0.09,0,1395,83.2,39,39,,76,60,6,18,15,50,501,31.3,1987,70,1855,1621,87.4,64,12,187,43.2
Willian,33593899.12,36000000,2019,29,3,32,26,2097,3,6,62,22,35.5,0.05,1100,77.8,170,41,,134,81,6,10,6,37,517,28,1699,59.7,1552,1295,83.4,42,12,142,22.7
Dimitri Payet,18809224.12,19800000,2018,30,4,31,28,2347,6,13,58,18,31,2,1198,74.1,235,43,42,199,113,6,26,13,17,319,28.5,1881,75,1540,1379,89.5,50,16,172,22.2
Raúl Jiménez,29394661.73,31500000,2019,27,7,38,36,3111,13,7,113,32,28.3,0.1,789,73.6,25,44,,78,63,6,13,10,26,631,23.8,1535,57.1,1836,1133,61.7,78,41,194,40.2
Pablo Sarabia,32660735.26,35000000,2019,26,6,33,30,2724,13,13,74,31,41.9,1,1062,73.4,183,45,69,135,105,6,21,18,32,626,21.6,1805,50.7,1671,1288,77.1,53,45,205,26.7
Ángel Di María,34198589.31,36000000,2018,29,1,30,26,2108,11,7,98,39,39.8,0,906,71.7,176,47,64,107,74,6,13,10,11,243,28,1532,51.3,1409,1184,84,43,7,113,0
Julian Brandt,34198589.31,36000000,2018,21,5,34,26,2326,9,3,51.2,1.66,0.21,0,968,74.5,109,47,,101,78,6,11,10,23,486,28.4,1599,67.7,1474,1197,81.2,59,12,181,40.4
Ryan Fraser,25195424.34,27000000,2019,24,14,38,35,3166,7,14,50,24,48,0.14,1019,67.7,274,49,,131,79,6,19,11,14,490,17.3,1807,50,1594,1274,79.9,44,6,215,27.6
Erling Braut Håland,59399821.63,64800000,2020,19,2,29,22,2043,29,6,57.1,2.96,0.37,0,174,73.7,11,2,,25,15,5,7,4,5,140,28.6,367,44.4,467,261,55.9,32,10,44,47.7
Javairô Dilrosun,15117254.61,16200000,2019,20,11,17,7,898,2,3,50,1,0.2,0,188,72.9,32,3,,32,22,5,6,5,11,161,26.7,381,60,317,253,79.8,17,8,57,8.3
Gianluca Lapadula,5984753.129,6300000,2018,27,12,28,13,1495,6,1,13.2,3.19,0.06,3,168,64.9,5,3,,36,18,5,6,1,9,238,22.3,463,78.9,850,352,41.4,50,32,40,41.6
Eric Maxim Choupo-Moting,4665819.323,5000000,2019,29,1,22,8,802,3,0,28,5,17.9,0,187,81.3,7,4,8,30,20,5,3,3,8,171,28.7,330,69.4,375,251,66.9,17,16,40,33.3
Ousmane Dembélé,57749826.59,63000000,2020,22,2,5,3,357,1,0,5,2,40,0,201,77,20,4,15,18,10,5,2,1,0,58,17.2,310,51.6,307,257,83.7,12,1,21,33.3
Antonio Sanabria,5362483.897,5850000,2020,23,17,23,15,1324,4,2,46.2,2.65,0.1,0,272,76.2,10,5,,35,25,5,5,3,13,307,26.1,534,73.5,671,402,59.9,30,22,64,41.1
Diego Perotti,5362483.897,5850000,2020,31,5,21,10,875,5,3,41.7,1.23,0.08,4,305,78,40,5,,39,26,5,3,2,17,191,31.9,501,72.5,443,374,84.4,6,8,61,50
Gareth Bale,23099930.64,25200000,2020,30,1,16,12,1089,2,2,34,13,38.2,0,360,75,45,5,12,33,21,5,7,6,10,105,28.6,618,56.7,644,512,79.5,27,16,42,64.7
Reiss Nelson,14277407.13,15300000,2019,18,9,25,7,823,8,0,19,12,63.2,0.37,200,80.3,12,5,,31,24,5,3,1,15,173,24.3,349,61.8,333,245,73.6,12,8,47,0
Joaquín Correa,8549647.327,9000000,2018,22,7,21,15,1189,1,2,26.1,1.74,0.04,0,394,79.6,8,6,,46,26,5,5,1,12,216,29.6,688,62.7,662,523,79,33,21,78,44.4
Youssef En-Nesyri,5129788.396,5400000,2018,20,20,25,16,1601,4,0,47,14,29.8,0,204,59.1,19,7,22,25,11,5,2,0,17,463,23.5,602,34.7,773,407,52.7,58,32,81,39
Michy Batshuayi,20996186.95,22500000,2019,24,4,26,13,1277,6,0,44,17,38.9,0.14,217,75.7,4,7,,24,19,5,3,1,3,280,20.9,471,49,668,344,52,35,23,78,28.6
Douglas Costa,19799940.54,21600000,2020,28,1,23,7,802,1,4,40,2.24,0.05,0,392,80,40,7,,51,39,5,6,5,5,115,21.7,613,62.1,572,503,87.9,26,10,53,12.5
Jadon Sancho,59847531.29,63000000,2018,17,4,12,7,690,1,4,40,1.3,0.1,0,308,82.8,14,7,,38,31,5,6,5,5,100,22,467,62.8,446,368,82.5,21,1,57,17.6
João Victor Santos Sá,2887491.329,3150000,2020,25,7,32,18,1629,2,2,37.9,1.6,0.07,0,322,72.9,23,7,,42,27,5,4,3,38,401,28.4,691,66,739,432,58.5,46,26,138,32.9
Ignatius Ganago,3732655.458,4000000,2019,19,7,20,9,1036,2,0,31,11,35.5,0,176,78.6,3,7,7,27,14,5,1,0,5,193,21.2,334,67.9,441,262,59.4,25,9,35,39.3
Teemu Pukki,6599980.182,7200000,2020,29,20,36,33,2886,11,3,80,32,40,0.11,421,80.7,9,8,,53,41,5,5,3,17,602,26.6,794,58.7,1143,531,46.5,50,23,113,10.7
Gianluca Caprari,6718779.825,7200000,2019,25,9,21,12,1031,6,2,45.2,2.71,0.19,0,342,77.7,40,8,,34,19,5,7,4,13,239,22.2,601,59.6,650,464,71.4,29,21,54,14.3
Luca Waldschmidt,13199960.36,14400000,2020,23,8,23,14,1268,7,1,23.1,2.77,0.1,3,276,77.3,7,8,,37,24,5,6,4,9,204,27.9,517,40,552,396,71.7,22,16,61,23.8
Sergi Guardiola,4199237.39,4500000,2019,27,5,3,0,30,0,0,45,15,33.3,0,217,65.2,18,9,30,34,20,5,3,1,18,349,18.1,560,63.3,772,402,52.1,58,37,60,27.2
Wahbi Khazri,8249975.227,9000000,2020,28,17,16,13,1149,3,2,45,8,17.8,1,224,62.7,60,9,18,35,19,5,5,3,18,250,25.2,547,46.3,548,376,68.6,32,21,51,31.8
Wesley Saïd,5459008.608,5850000,2019,23,18,34,25,2253,4,1,25,10,40,0,331,82.1,20,9,9,28,16,5,2,2,15,208,22.6,533,72.1,513,382,74.5,22,11,79,39.3
Yusuf Yazıcı,10724967.79,11700000,2020,22,4,18,9,848,1,4,20,3,15,1,314,69.6,71,9,13,43,16,5,4,2,17,248,26.2,577,45.5,470,371,78.9,14,11,66,0
Alexandre Lacazette,39599881.09,43200000,2020,28,8,30,22,1874,10,4,53,26,49.1,0.19,387,77.6,15,10,,58,36,5,13,5,23,464,24.6,786,54.3,906,555,61.3,60,43,102,25.6
David McGoldrick,1649995.045,1800000,2020,31,9,28,22,1815,2,2,46,19,41.3,0.04,475,76.2,8,10,,35,26,5,4,3,42,460,25.7,895,66,1088,657,60.4,57,29,112,37.8
Christoph Baumgartner,9899970.272,10800000,2020,19,6,26,17,1493,7,2,41.1,3.38,0.13,0,354,71.4,17,10,,50,31,5,4,1,35,412,27.9,770,40,737,547,74.2,47,37,96,42.7
Radja Nainggolan,23515729.39,25200000,2019,30,4,29,22,1967,6,3,26.1,3.16,0.09,0,830,81.9,43,10,,70,56,5,5,4,37,415,26.3,1280,64,1186,990,83.5,39,32,183,41.2
Trézéguet,6599980.182,7200000,2020,24,17,34,20,1950,6,1,50,17,34,0.12,295,66.3,65,11,,44,29,5,2,1,42,530,24.3,775,53.3,855,518,60.6,64,35,94,37.8
Lucas Höler,3299990.091,3600000,2020,25,8,34,28,2485,8,2,44,1.81,0.16,0,452,69.9,18,11,,67,39,5,15,4,37,644,23.9,1098,56.7,1196,755,63.1,97,37,155,43.6
Flavien Tait,4537486.375,4950000,2020,26,3,17,9,885,2,2,14,4,28.6,0,304,74.1,19,11,18,37,28,5,4,4,23,213,26.3,541,50,496,401,80.8,20,11,72,22.2
M'Baye Niang,8549647.327,9000000,2018,22,9,26,18,1532,4,2,47,18,38.3,0,366,71.5,37,12,37,45,32,5,4,1,31,328,27.4,821,49.4,830,607,73.1,68,41,95,39.3
Alberto Paloschi,2564894.198,2700000,2018,27,17,36,25,2184,7,0,42.9,1.15,0.25,0,292,71.7,9,12,,35,26,5,5,3,11,358,19,594,72,778,404,51.9,51,38,94,28.4
Luca Waldschmidt,16796949.56,18000000,2019,22,13,30,16,1717,9,1,41.4,3.04,0.1,3,482,79.3,35,12,,53,34,5,7,4,17,323,20.4,851,52.5,794,606,76.3,44,32,119,40
Jonas Hofmann,10259576.79,10800000,2018,25,9,23,12,1033,0,3,31.6,1.66,0,0,312,72.9,32,12,,44,21,5,7,3,23,225,30.7,594,57.1,497,368,74,24,8,98,14.3
Jamie Vardy,16796949.56,18000000,2019,31,9,34,30,2726,18,4,75,32,42.7,0.19,286,64.6,30,13,,56,40,5,9,4,20,586,22.4,700,57.6,1244,490,39.4,45,20,86,40.9
Chris Wood,11962464.08,13050000,2020,27,10,32,29,2437,14,1,64,28,43.8,0.2,312,64.6,8,13,,49,32,5,3,3,9,408,22.5,763,45,1314,581,44.2,85,34,88,37.5
Andrej Kramarić,25162424.44,27450000,2020,28,6,19,14,1422,12,2,50,2.53,0.25,2,445,80.3,27,13,,51,31,5,10,6,3,229,28.4,719,72.2,766,562,73.4,26,6,78,29.6
Yuya Osako,3712488.852,4050000,2020,29,16,28,22,1848,8,2,45.7,2.24,0.17,0,493,75.7,16,13,,63,48,5,5,2,31,371,28.6,943,53.3,1038,718,69.2,63,31,110,37.8
Andrea Belotti,32488659.84,34200000,2018,23,9,32,29,2683,10,5,32.6,2.88,0.12,0,441,72.3,10,13,,80,48,5,16,9,33,505,26.1,1038,55.1,1357,772,56.9,87,56,124,42.4
Luis Muriel,12597712.17,13500000,2019,27,16,25,17,1564,7,1,31.1,2.81,0.13,0,294,63.8,19,13,,43,31,5,7,1,19,300,22.5,682,58.5,798,508,63.1,49,25,90,28.6
Renato Steffen,4199237.39,4500000,2019,26,6,31,18,1503,5,1,28.6,1.68,0.18,0,437,75.2,29,13,,37,26,5,3,3,36,335,26.9,762,60.6,688,517,75.1,28,21,114,41.2
Vitolo,11962464.08,13050000,2020,29,3,28,11,1227,3,2,17,11,64.7,0,449,84.2,7,13,13,39,26,5,3,3,17,265,30.9,737,56.3,749,557,74.4,40,26,106,25.5
Rodrigo Palacio,419923.739,450000,2019,36,10,28,26,2329,3,6,41.3,1.78,0.07,0,579,71,97,14,,79,64,5,10,7,21,574,18.8,1190,53.7,1459,928,63.6,74,22,132,38.7
Luis Muriel,10259576.79,10800000,2018,26,7,29,17,1610,7,2,37.9,3.24,0.12,0,317,72.2,15,14,,39,29,5,3,2,12,332,20.8,644,62.3,792,474,59.8,33,22,70,33.3
Danny Welbeck,12824470.99,13500000,2018,26,6,28,12,1194,5,2,32,13,40.6,0.16,319,80.8,2,14,,38,25,5,3,3,19,211,26.5,582,53.1,616,432,70.1,29,13,61,41.7
Kevin Lasagna,5878932.347,6300000,2019,25,12,36,26,2453,6,2,31.3,2.35,0.09,0,324,67.8,23,14,,52,33,5,6,1,11,558,21,777,50,1045,493,47.2,71,33,119,43.9
Romain Philippoteaux,733331.1313,800000,2020,31,18,27,23,1994,5,2,31,12,38.7,0,446,71.2,46,14,25,53,34,5,3,1,24,380,24.7,849,42.4,764,555,72.6,27,17,152,20
Callum Wilson,25195424.34,27000000,2019,26,14,30,29,2528,14,9,63,27,42.9,0.21,319,70,20,15,,64,46,5,19,12,11,613,23.8,765,51.2,1159,580,50,88,42,100,29.5
Anthony Limbombe,7465310.916,8000000,2019,24,12,29,12,1237,1,1,43,12,27.9,0,333,71.5,42,15,21,57,41,5,5,4,14,155,28.4,638,69.2,701,482,68.8,29,6,91,45
Breel Embolo,13199960.36,14400000,2020,22,4,28,17,1550,8,5,40.9,2.55,0.18,0,294,75.4,5,15,,56,35,5,11,7,23,394,24.1,701,43.4,828,522,63,58,42,95,30
Mark Uth,6187481.42,6750000,2020,27,12,23,18,1515,0,0,37.5,2.04,0,0,398,71.9,92,15,,59,28,5,10,4,27,463,27.4,853,50,773,552,62.9,51,29,112,33.3
Ilija Nestorovski,2309993.064,2520000,2020,29,15,27,15,1243,3,1,26.5,2.46,0.09,0,268,74.9,9,15,,33,25,5,3,2,11,221,25.8,496,60,608,385,63.3,24,37,43,38.3
Bernard,13199960.36,14400000,2020,26,12,27,15,1280,3,2,12,4,33.3,0.25,427,74.5,36,15,,48,40,5,5,3,25,271,25.5,763,59.7,688,543,78.9,35,19,116,5.9
Luka Jović,50390848.69,54000000,2019,20,7,32,25,2243,17,5,95,41,43.2,1,434,72.2,18,16,21,59,42,5,14,10,14,332,27.1,950,45.5,1279,723,56.5,67,30,120,32.1
Romelu Lukaku,62988560.86,67500000,2019,25,6,32,22,2136,12,0,55.9,2.49,0.2,0,379,65,44,16,,54,45,5,7,6,11,348,28.4,826,68.4,1189,653,54.9,51,18,67,55
Mijat Gaćinović,7694682.594,8100000,2018,22,8,29,22,1815,1,3,40.5,1.83,0.03,0,447,68.6,38,16,,42,28,5,7,5,38,531,24.9,929,42.9,678,528,77.9,38,25,220,35.5
Ernesto Torregrossa,1979994.054,2160000,2020,27,19,25,22,1844,7,3,35.5,3.03,0.08,2,332,65.5,12,16,,66,40,5,11,7,15,318,19.2,856,53,1093,691,63.2,74,49,81,35.6
Christian Atsu,5129788.396,5400000,2018,25,10,28,19,1784,2,2,35,13,37.1,0.06,363,70.5,57,16,,47,36,5,5,3,17,297,24.9,789,37.7,669,493,73.7,32,10,150,11.8
Florian Thauvin,37793136.51,40500000,2019,25,5,33,30,2613,16,8,99,32,32.3,2,921,73.7,128,17,56,93,59,5,13,6,28,472,22.9,1701,59.5,1731,1333,77,94,30,148,43.2
Ezequiel Ávila,12597712.17,13500000,2019,24,19,34,20,1997,10,2,89,23,25.8,1,314,54.5,40,18,36,48,30,5,6,3,21,423,22.5,918,51.7,975,636,65.2,60,38,131,50.5
Sergio Canales,20996186.95,22500000,2019,27,10,32,30,2655,7,2,63,23,36.5,2,1554,83.6,143,18,43,93,62,5,10,8,48,496,23.8,2194,75.9,1943,1691,87,62,28,204,11.8
Krzysztof Piątek,33593899.12,36000000,2019,23,5,37,34,2966,22,0,45.2,2.75,0.21,2,413,77.8,13,18,,75,47,5,6,1,21,703,17.1,989,36.8,1523,727,46.1,93,61,106,35.7
Krzysztof Piątek,26875119.3,28800000,2019,23,17,37,34,2966,22,0,40.3,4.07,0.15,2,413,70.7,13,18,,75,47,5,6,1,21,703,23.3,989,60,1523,727,49.1,93,61,106,36.5
Carlos Bacca,4199237.39,4500000,2019,31,14,33,12,1270,6,1,30,14,46.7,1,192,70.1,6,18,11,40,31,5,4,1,6,176,15.9,404,47.6,545,298,54.7,31,19,55,48.4
Jonathan Calleri,5129788.396,5400000,2018,23,19,37,34,3105,9,3,99,24,24.2,5,452,62.8,30,19,38,62,39,5,5,2,18,555,25.8,1144,60.8,1356,813,60,102,70,124,46.2
Ante Rebić,25648941.98,27000000,2018,23,8,25,21,1751,6,2,53.5,2.21,0.14,0,264,54.8,35,20,,51,33,5,6,4,34,470,31.5,815,57.1,990,576,58.2,69,56,123,28.2
Ante Rebić,25648941.98,27000000,2018,23,8,25,21,1751,6,2,53.5,2.21,0.14,0,264,54.8,35,20,,51,33,5,6,4,34,470,31.5,815,57.1,990,576,58.2,69,56,123,28.2
Philippe Coutinho,46199861.27,50400000,2020,27,1,23,15,1411,8,6,46.4,3.57,0.13,1,709,81.8,41,21,,78,63,5,12,10,28,235,39.1,1071,65.2,1045,856,81.9,22,5,92,37.5
Karim Bellarabi,9899970.272,10800000,2020,29,5,26,17,1424,4,6,45.5,3.48,0.07,0,487,68.9,110,22,,48,34,5,8,6,19,297,33.3,933,57.5,881,713,80.9,27,22,103,22.2
Martin Harnik,2564894.198,2700000,2018,30,13,30,21,1888,9,2,44.9,2.34,0.18,0,387,66,19,22,,38,28,5,6,5,15,514,27.8,821,61.3,936,589,62.9,62,40,133,50
Jonathan Ikone,4274823.664,4500000,2018,19,10,18,12,999,1,1,20,4,20,0,273,70.5,25,22,12,34,23,5,2,2,11,199,21.6,538,42.3,537,412,76.7,29,11,48,16.7
Marcus Rashford,67187798.25,72000000,2019,20,6,33,26,2334,10,6,83,40,48.2,0.12,538,73.9,54,24,,73,53,5,10,6,19,424,23.8,1128,53.3,1340,851,63.5,74,26,114,38.9
Munir El Haddadi,10259576.79,10800000,2018,21,14,33,28,2436,10,6,62,24,38.7,0,463,65.8,84,24,39,87,50,5,12,7,22,530,23.4,1058,61,1207,729,60.4,81,33,128,31
Dele Alli,75586273.03,81000000,2019,22,4,25,22,1825,5,3,40,18,45,0.13,843,80.3,11,24,,61,47,5,5,3,32,470,27,1313,49.1,1214,965,79.5,41,23,180,37.9
Franco Vázquez,12597712.17,13500000,2019,29,6,34,26,2280,3,4,44,9,20.5,0,872,77.2,25,26,40,64,50,5,9,7,52,516,21.1,1480,65.5,1243,1044,84,37,52,254,51.1
Giovani Lo Celso,25648941.98,27000000,2018,21,1,33,18,1776,4,2,38,14,36.8,0.11,1387,89.5,15,27,,54,41,5,8,4,68,421,32.1,1806,64.6,1472,1393,94.6,23,23,174,37.5
Felipe Anderson,20624938.07,22500000,2020,26,16,25,20,1497,1,4,23,8,34.8,0.04,725,77.6,36,28,,57,44,5,8,7,45,370,28.1,1163,68,1042,889,85.3,33,17,135,14.3
Alex Iwobi,12824470.99,13500000,2018,21,6,26,22,1830,3,5,45,22,48.9,0.07,987,85.7,20,29,,76,67,5,12,11,20,253,30.8,1365,60.4,1246,1110,89.1,43,11,145,23.1
Jesse Lingard,34198589.31,36000000,2018,24,2,33,20,1817,8,5,57,24,42.1,0.14,821,84.3,46,30,,68,46,5,10,7,22,535,22.1,1237,50,1199,955,79.6,43,34,125,15.4
Iker Muniain,12597712.17,13500000,2019,25,8,34,27,2383,7,3,24,11,45.8,1,1052,84.2,40,30,23,70,52,5,9,5,29,483,26.7,1546,62,1438,1198,83.3,39,27,196,27.6
Xherdan Shaqiri,17099294.65,18000000,2018,25,19,36,36,3039,8,7,70,30,42.9,0.11,893,70.8,200,31,,121,70,5,11,4,22,379,24,1605,53,1382,1053,76.2,90,28,210,37.5
Pablo Fornals,21374118.32,22500000,2018,21,5,35,30,2615,3,9,53,16,30.2,0.06,1042,77.4,32,38,,103,83,5,18,17,45,671,23,1649,60.4,1515,1252,82.6,49,32,208,42.1
Matteo Politano,25195424.34,27000000,2019,24,4,36,31,2549,5,6,28.8,2.82,0.06,0,1070,72.5,212,39,,124,85,5,12,9,18,486,22.4,1789,54.9,1587,1341,84.5,36,14,182,19.2
Christian Eriksen,83984747.81,90000000,2019,26,4,35,30,2774,8,12,84,31,36.9,0.1,1540,77.6,117,42,,126,82,5,14,11,41,673,28.1,2294,56.8,1978,1692,85.5,47,17,297,16.7
Matěj Vydra,6718779.825,7200000,2019,26,15,13,3,318,1,1,18,10,55.6,0.11,102,73.9,3,1,,21,13,4,3,1,4,184,25.5,238,41.2,412,164,39.8,21,1,37,28.8
Antonino La Gumina,5039084.869,5400000,2019,22,18,22,12,1090,2,2,30,2.48,0.07,0,117,80.7,1,2,,20,8,4,3,1,10,233,21,291,51.6,461,200,43.4,35,17,34,25
Oumar Niasse,5039084.869,5400000,2019,28,8,18,12,994,0,0,21,7,33.3,0,128,59.1,6,3,,18,11,4,0,0,11,153,32,403,61,658,406,63.8,59,11,45,33.3
Álvaro Morata,29699910.82,32400000,2020,26,3,34,25,2098,12,2,64,27,42.2,2,335,66.9,11,4,20,55,41,4,5,4,19,328,25.9,850,57.6,1132,637,56.3,83,54,109,54
Breel Embolo,13437559.65,14400000,2019,21,14,20,15,1345,5,1,48.1,1.81,0.19,0,188,67.1,6,4,,40,25,4,7,2,20,257,25.7,504,42,650,369,56.8,59,30,66,31.1
Loïc Rémy,1649995.045,1800000,2020,32,4,20,11,963,7,0,28,11,39.3,0,177,80.1,6,4,9,28,18,4,3,1,6,144,31.9,324,69.6,419,254,60.6,26,15,34,48.3
Jhon Córdoba,8763388.51,9000000,2017,23,15,29,27,2345,5,3,17.1,3.29,0,0,141,67.1,8,4,,29,15,4,3,2,8,138,23.2,364,56.3,467,264,56.5,38,28,46,25
Loïc Rémy,5129788.396,5400000,2018,30,8,11,6,456,3,0,10,5,50,1,87,69.6,5,4,5,9,2,4,2,0,3,94,18.1,176,88.9,230,133,57.8,6,8,16,60
Fabio Borini,3299990.091,3600000,2020,28,9,15,10,833,3,0,42.9,4.13,0.06,1,181,68.3,14,5,,24,12,4,1,0,6,130,25.6,398,58.8,363,251,69.1,10,11,64,34.6
Pedro León,1154996.532,1260000,2020,32,14,31,23,1896,1,2,38,14,36.8,0,416,58,190,5,41,65,31,4,5,3,27,381,26.5,945,52.6,859,588,68.5,43,21,128,45.2
Kwon Chang-hoon,2639992.073,2880000,2020,25,8,23,6,676,2,0,40,2,0.13,0,198,72,18,6,,21,14,4,3,1,9,142,26.1,386,62.5,361,270,74.8,19,4,68,41
Andriy Yarmolenko,17099294.65,18000000,2018,27,4,18,13,1039,3,3,30,11,36.7,0.1,331,73.7,46,6,,50,37,4,7,5,13,169,27.2,593,59.5,637,460,72.2,26,19,71,45
Pedro,9899970.272,10800000,2020,32,4,11,8,661,1,1,23,9,39.1,0.04,259,78.2,21,6,,34,23,4,4,2,17,152,32.2,424,59.3,395,321,81.3,12,8,61,28.6
Myziane Maolida,8549647.327,9000000,2018,18,3,13,2,333,1,0,19,7,36.8,0,284,81.6,7,6,16,30,22,4,4,3,12,189,22.2,481,61.5,511,376,73.6,36,5,61,33.3
Justin Kluivert,18562444.26,20250000,2020,20,5,22,19,1514,4,1,32.4,2.02,0.12,0,394,81.6,23,7,,54,45,4,5,3,19,259,26.6,679,53.8,674,505,74.9,28,30,91,25.9
João Pedro,4274823.664,4500000,2018,25,16,22,19,1656,5,2,28.2,2.12,0.1,1,364,70.3,24,7,,39,25,4,2,1,16,246,23.2,735,41.9,749,510,68.1,36,32,125,33.3
Marco Richter,3847341.297,4050000,2018,19,12,12,6,644,1,0,18.2,1.54,0.09,0,110,69.6,9,7,,18,11,4,1,0,20,129,31.8,261,57.1,255,170,66.7,23,17,48,40.7
Divock Origi,8549647.327,9000000,2018,22,4,32,22,1977,6,2,64,24,37,0.09,311,75,13,8,,39,21,4,6,2,6,426,21,708,56,992,575,58,72,31,63,35
Ondrej Duda,6839717.862,7200000,2018,22,10,17,9,744,1,0,37.5,0.97,0.13,0,248,80.5,7,8,,14,10,4,1,1,14,209,25.8,426,78.9,363,282,77.7,23,23,79,31.4
Nolito,1319996.036,1440000,2020,32,17,22,13,1222,5,1,34,16,66.7,1,378,70.1,24,8,22,46,31,4,4,2,18,214,30.1,648,16.7,654,475,79.2,21,32,87,35
Javier Hernández,12824470.99,13500000,2018,29,13,28,16,1548,8,0,31,16,51.6,0.26,277,73.1,18,8,,38,28,4,3,0,8,243,28,574,46.9,688,445,64.7,42,15,57,41.2
Musa Barrow,4199237.39,4500000,2019,19,3,22,6,601,1,2,22.6,4.64,0.03,0,192,77.4,9,8,,28,20,4,3,2,10,135,28.1,372,52.9,456,299,65.6,32,7,36,22.2
Musa Barrow,4199237.39,4500000,2019,19,3,22,6,601,1,2,22.6,4.64,0.03,0,192,77.4,9,8,,28,20,4,3,2,10,135,28.1,372,52.9,456,299,65.6,32,7,36,22.2
Stevan Jovetić,7465310.916,8000000,2019,28,17,8,4,399,2,0,22,9,40.9,0,138,66,6,8,6,17,10,4,1,1,1,71,23.9,278,62.5,304,222,73,10,10,31,41.2
Mattia Destro,5129788.396,5400000,2018,26,15,26,19,1617,6,2,48.8,2.28,0.15,0,195,65,4,9,,33,22,4,5,2,20,304,28.6,543,44.1,765,400,52.3,65,35,47,38.6
Goran Pandev,335938.9912,360000,2019,35,17,26,12,1122,4,2,35.7,2.25,0.14,0,277,75.5,13,9,,47,29,4,2,2,18,195,24.6,557,63.2,582,412,70.8,28,17,69,13.8
Florian Ayé,1319996.036,1440000,2020,22,19,22,15,1380,0,0,25.9,1.76,0,0,219,71.1,7,9,,30,16,4,1,0,20,494,20.2,504,66.7,623,339,54.4,41,19,69,43.1
Eden Hazard,65999801.82,72000000,2020,28,1,16,14,1077,1,3,19,14,73.7,0,522,85.4,19,9,19,48,39,4,8,5,9,120,28.3,787,62.1,803,667,83.1,24,12,75,55.6
Henrikh Mkhitaryan,16499950.45,18000000,2020,30,5,24,16,1553,9,4,43,16,39,0.22,608,83.8,17,10,,71,59,4,8,7,39,310,25.4,959,48.7,831,702,84.6,30,19,141,31.6
Henrikh Mkhitaryan,16499950.45,18000000,2020,30,5,25,17,1642,9,5,37.2,2.53,0.21,0,640,83.7,19,10,,75,61,4,9,8,40,328,24.7,1013,51.2,878,745,85,32,19,145,31.6
Alexander Esswein,839847.4781,900000,2019,28,16,17,15,1251,0,0,29.6,1.94,0,0,308,68.4,60,10,,42,30,4,4,3,23,301,29.9,624,60,681,449,65.9,32,18,73,34.4
Mickaël Cuisance,5557270.763,5850000,2018,17,9,24,9,1207,0,1,20,1.86,0,0,540,79.3,32,10,,36,17,4,2,0,31,265,30.6,875,75,715,611,85.5,33,28,131,38.1
Marcos Llorente,32999900.91,36000000,2020,24,3,29,16,1368,3,3,14,5,35.7,0,395,77.9,8,10,27,27,21,4,7,3,33,309,31.7,676,75.8,534,446,83.5,19,24,125,41.7
Ángel Rodríguez,2519542.434,2700000,2019,31,5,37,20,1819,8,3,66,25,37.9,0,242,64.2,27,11,22,40,23,4,7,4,13,390,21.5,654,50,1017,498,49,63,42,77,30
Alexander Isak,2564894.198,2700000,2018,17,4,5,1,119,0,0,44,22,50,0,222,73,9,11,19,32,23,4,4,1,9,259,28.6,497,57.1,728,372,51.1,40,22,50,32.8
