playername,mvpr,marketvaluepound,season,age,lgrank,MP,starts,min,goal,assist,sh,sot,sotp,gsh,cmp,cmpp,crs,int,block,sca,passlive,drib,gca,gcapasslive,tkl,press,pressp,touches,succp,targ,rec,recp,miscon,fls,recov,aerialwonp
Wahbi Khazri,11197966.37,12000000,2019,27,4,32,32,2817,13,6,93,34,36.6,4,740,66.6,198,20,42,130,55,13,14,2,41,578,23.5,1538,55.7,1452,1007,69.4,91,56,150,27.5
Neymar,105599682.9,115200000,2020,27,1,15,15,1318,13,6,64,31,48.4,4,759,79,53,24,24,96,61,13,17,13,14,170,28.8,1307,57,1239,1085,87.6,61,14,89,50
Simone Verdi,21374118.32,22500000,2018,25,15,34,34,2827,10,8,31.5,2.83,0.09,2,900,68.1,233,24,,110,62,13,18,10,35,480,25.8,1755,62.2,1453,1196,82.3,80,23,181,19.4
Edin Džeko,21374118.32,22500000,2018,31,3,36,33,3018,16,3,34.2,4.8,0.1,0,547,68.9,19,25,,112,84,13,9,7,19,419,26.5,1240,69.6,1598,961,60.1,89,34,134,60.7
Raúl Jiménez,32999900.91,36000000,2020,28,7,38,37,3236,17,6,114,39,34.2,0.11,732,72.5,23,27,,83,57,13,12,7,29,588,24,1489,68.5,1839,1150,62.5,97,40,166,39.8
Karim Benzema,33593899.12,36000000,2019,30,3,36,35,2953,21,6,99,41,41.4,3,1011,83.4,20,28,41,118,88,13,14,8,18,442,22.4,1549,62.4,1919,1265,65.9,61,23,115,45.7
Nathan Redmond,14849955.41,16200000,2020,25,11,32,32,2762,4,4,59,21,35.6,0.07,781,73.6,42,28,,91,65,13,6,5,57,643,30,1443,61.6,1430,1011,70.7,56,23,250,26
Domenico Berardi,20156339.47,21600000,2019,23,11,35,32,2875,8,4,23.6,3.85,0.06,1,955,71.6,121,28,,124,78,13,13,8,41,697,20.1,1820,57.3,1663,1330,80,68,65,243,40.8
Bertrand Traoré,17099294.65,18000000,2018,21,3,31,27,2285,13,4,85,29,34.1,0,831,80,29,36,23,84,52,13,14,8,25,437,24.9,1433,53.3,1300,1095,84.2,60,25,134,60.9
Memphis Depay,46191611.3,49500000,2019,24,3,36,29,2737,10,10,107,38,35.5,0,1093,73.3,201,37,58,214,122,13,13,9,16,434,26.3,1861,64.1,1847,1382,74.8,80,36,158,35
Allan Saint-Maximin,17099294.65,18000000,2018,20,8,31,26,2253,3,5,39,16,41,0.08,668,73.9,69,39,,89,68,13,11,9,16,234,27.4,1238,60.8,1157,980,84.7,67,8,119,55.6
Luis Suárez,41992373.9,45000000,2019,31,1,33,31,2827,21,6,108,52,48.1,4,767,74.8,21,41,49,125,87,13,26,16,20,423,28.4,1469,51.2,1725,1165,67.5,94,31,117,47.1
Cengiz Ünder,19799940.54,21600000,2020,22,5,18,10,873,3,0,34.6,2.68,0.12,0,241,70.5,46,5,,47,29,12,2,0,12,126,27,466,78,449,348,77.5,20,5,54,55.6
Florian Niederlechner,8249975.227,9000000,2020,28,15,33,31,2720,13,6,50.7,2.48,0.16,1,369,73.5,18,11,,71,40,12,13,6,26,542,23.8,887,45.8,1214,569,46.9,68,46,125,38.5
Douglas Costa,47023060.3,49500000,2018,26,1,54,32,3215,8,10,39.5,1.91,0.11,0,826,79.7,197,13,,109,84,12,25,20,15,319,24.5,1263,70.9,1192,1037,87,46,41,121,32.3
Sofiane Boufal,10259576.79,10800000,2018,23,17,26,11,1219,2,2,28,6,21.4,0.07,410,72.2,39,13,,47,27,12,8,5,34,217,28.6,795,64,676,600,88.8,38,27,87,42.9
Anthony Martial,47849856.32,52200000,2020,23,3,32,31,2624,17,6,79,38,48.1,0.22,575,79.8,11,14,,92,72,12,18,13,15,379,28.5,1074,61.5,1399,897,64.1,66,28,76,25.6
Moussa Diaby,26399920.73,28800000,2020,20,5,28,18,1771,5,5,56.1,2.08,0.12,0,515,73.6,90,15,,67,48,12,10,7,9,239,29.7,947,61.5,1045,770,73.7,52,13,118,17.6
Marco Richter,8398474.781,9000000,2019,20,15,25,17,1426,4,6,43.6,3.47,0.07,0,328,67.6,36,15,,52,31,12,10,8,13,299,21.7,747,52.9,748,520,69.5,47,22,127,26.7
Harry Kane,128244709.9,135000000,2018,24,3,37,35,3076,30,2,181,71,39.2,0.15,476,69.7,21,16,,99,62,12,11,7,15,327,30.6,1158,50,1623,892,55,80,34,112,43
Edin Džeko,11549965.32,12600000,2020,33,5,35,31,2854,16,7,36.8,3.94,0.13,0,565,69.5,21,16,,111,79,12,18,11,17,280,28.6,1223,54.1,1558,965,61.9,86,39,130,64.3
Daichi Kamada,9899970.272,10800000,2020,22,9,28,22,1969,2,4,39.6,2.19,0.04,0,579,74.9,88,17,,87,53,12,11,6,30,457,29.1,1052,66.1,1007,684,67.9,40,28,171,24.2
Robert Lewandowski,46199861.27,50400000,2020,30,1,31,31,2759,34,4,44,4.37,0.22,5,592,75.6,23,18,,100,68,12,15,9,19,391,31.7,1205,57.5,1606,1002,62.4,86,32,105,56.9
Timo Werner,51297883.96,54000000,2018,21,6,32,28,2494,13,7,42.4,3.32,0.12,2,514,69.5,55,19,,63,41,12,16,11,20,414,28.7,1086,59.7,1327,801,60.4,79,26,111,37.5
Lucas Moura,26399920.73,28800000,2020,26,6,35,25,2242,4,4,56,13,23.2,0.07,581,72.7,19,20,,84,59,12,8,5,53,532,27.1,1190,62.3,1201,830,69.1,57,31,199,40.7
Andy Delort,10498093.48,11250000,2019,26,6,36,36,3115,14,7,112,31,27.7,3,694,58,138,25,91,103,77,12,8,8,34,490,22.2,1688,60.6,1949,1270,65.2,117,91,198,44.3
Ismaila Sarr,25195424.34,27000000,2019,20,10,35,32,2788,8,6,52,20,38.5,0.13,573,74.3,45,26,,101,65,12,17,10,31,522,26.6,1218,53,1408,935,66.4,86,40,159,36.6
Bertrand Traoré,11197966.37,12000000,2019,22,3,34,24,2117,7,2,66,28,42.4,0,844,80.5,32,32,37,87,59,12,15,11,26,398,27.1,1387,64.4,1396,1105,79.2,55,20,130,37.8
Dries Mertens,25648941.98,27000000,2018,30,2,38,35,3002,18,7,35.8,3.6,0.12,4,739,74,32,34,,131,97,12,16,11,25,856,28.3,1412,43.5,1792,1155,64.5,90,35,132,12
Memphis Depay,38473412.97,40500000,2018,23,3,36,28,2555,19,9,110,45,40.9,2,945,73.7,154,36,53,142,76,12,19,12,11,406,28.3,1708,45.1,1589,1267,79.7,78,32,156,26.7
Iago Aspas,21374118.32,22500000,2018,29,13,34,33,2933,22,5,92,40,43.5,2,971,75.3,61,37,44,113,89,12,15,11,24,606,25.4,1657,65.5,1773,1289,72.7,72,21,175,27.6
Roberto Firmino,68397178.62,72000000,2018,25,4,37,32,2763,15,7,81,35,43.2,0.17,861,71.6,43,59,,117,90,12,14,11,57,704,28.8,1582,65.3,1759,1176,66.9,85,58,185,24.2
