index,min,gls,agls,assist,sh,ash,shgls,ashgls,cmpp,sca,press,pressp,touches,targ,,
281,90,0,101,0,2.5,622.42,0,0.16226985,83.2,2.65,17.54,25,35.67,40.07,,
282,90,0,101,0,2.5,624.92,0,0.161620687,83.2,2.65,17.54,25,35.67,40.07,,
283,90,0,101,0,6,630.92,0,0.160083687,89.8,6,11,18.2,74,78,,
284,78,0,101,0,2,632.92,0,0.15957783,75,5,23,30.4,45,48,,
285,60,0,101,1,,632.92,0,0.15957783,79.9,3.03,18.3,23.8,39.78,41.14,,
286,90,0,101,0,,632.92,0,0.15957783,79.9,3.03,18.3,23.8,39.78,41.14,,
287,90,2,103,0,6,638.92,0.333333333,0.161209541,83.3,4,22,13.6,42,47,,
288,18,0,103,0,0,638.92,0,0.161209541,62.5,0,5,20,8,13,,
289,90,0,103,1,3,641.92,0,0.160456132,90.3,5,17,29.4,45,57,,
290,55,0,103,0,1,642.92,0,0.160206558,79.9,3.03,18.3,23.8,39.78,41.14,,
291,63,0,103,1,1,643.92,0,0.159957759,70,6,16,6.3,34,30,,
292,90,1,104,0,5,648.92,0.2,0.160266289,72,4,32,12.5,35,37,,
293,72,0,104,0,0,648.92,0,0.160266289,75,1,27,22.2,29,32,,
294,61,2,106,1,,648.92,0,0.163348333,79.9,3.03,18.3,23.8,39.78,41.14,,
295,90,0,106,0,,648.92,0,0.163348333,79.9,3.03,18.3,23.8,39.78,41.14,,
296,45,0,106,0,1,649.92,0,0.163096997,88,1,7,14.3,34,32,,
297,67,2,108,0,4,653.92,0.5,0.165157817,82.1,6,20,35,51,57,,
298,90,0,108,0,5,658.92,0,0.163904571,81,3,28,35.7,40,38,,
299,78,0,108,1,1,659.92,0,0.163656201,92.3,1,14,28.6,20,29,,
300,74,2,110,1,6,665.92,0.333333333,0.165185007,85.3,2,17,29.4,47,51,,
301,90,1,111,0,7,672.92,0.142857143,0.164952743,90,8,18,16.7,48,61,,
302,90,0,111,0,,672.92,0,0.164952743,79.9,3.03,18.3,23.8,39.78,41.14,,
303,90,0,111,0,,672.92,0,0.164952743,79.9,3.03,18.3,23.8,39.78,41.14,,
304,90,1,112,1,3,675.92,0.333333333,0.165700083,81.5,5,14,28.6,38,46,,
305,90,0,112,1,2,677.92,0,0.165211234,84.6,2,35,17.1,41,39,,
306,87,0,112,2,2,679.92,0,0.164725262,92.6,4,31,38.7,39,31,,
307,90,0,112,0,1,680.92,0,0.164483346,81.8,2,19,36.8,52,57,,
308,90,1,113,1,3,683.92,0.333333333,0.165224003,77.4,8,14,14.3,46,42,,
309,26,0,113,0,1,684.92,0,0.164982772,60,0,7,14.3,9,11,,
310,89,0,113,0,1,685.92,0,0.164742244,84,1,19,21.1,35,39,,
311,61,0,113,0,1,686.92,0,0.164502417,68.4,0,20,35,22,28,,
312,90,0,113,0,1,687.92,0,0.164263286,79.9,3.03,18.3,23.8,39.78,41.14,,
313,90,0,113,0,4,691.92,0,0.163313678,93.8,3,19,15.8,26,31,,
314,30,0,113,0,1,692.92,0,0.163077989,79.9,3.03,18.3,23.8,39.78,41.14,,
315,90,0,113,0,4,696.92,0,0.162141996,90.9,5,26,30.8,43,56,,
316,90,1,114,0,5,701.92,0.2,0.162411671,77.4,1,32,18.8,48,53,,
317,90,1,115,0,3,704.92,0.333333333,0.16313908,79.9,3.03,18.3,23.8,39.78,41.14,,
318,90,1,116,0,2,706.92,0.5,0.164092118,62.5,0,16,37.5,38,35,,
319,90,1,117,0,2,708.92,0.5,0.165039779,79.9,3.03,18.3,23.8,39.78,41.14,,
320,90,2,119,0,6,714.92,0.333333333,0.16645219,60.9,4,24,4.2,45,40,,
321,90,0,119,0,4,718.92,0,0.165526067,72.2,1,23,26.1,57,45,,
322,85,0,119,1,0,718.92,0,0.165526067,88.9,4,10,10,55,52,,
323,90,0,119,1,0,718.92,0,0.165526067,75.6,3,14,28.6,45,50,,
324,77,0,119,0,4,722.92,0,0.164610192,73.5,5,14,28.6,41,36,,
325,45,0,119,0,1,723.92,0,0.164382805,69.7,1,4,25,39,29,,
326,89,1,120,1,3,726.92,0.333333333,0.165080064,65.5,4,27,25.9,38,35,,
327,90,1,121,0,2,728.92,0.5,0.165999012,82.1,0,15,13.3,45,50,,
328,88,0,121,0,2,730.92,0,0.165544793,80,2,7,14.3,28,23,,
329,79,0,121,0,1,731.92,0,0.165318614,72.7,2,13,38.5,50,43,,
,,,,,,,,,,,,,,,,
